model,tag,completed_updates,wall_time,value
fm,sub_loss/val_prior_loss_epoch,44000,1789390267.9188025,0.9657042026519775
fm,sub_loss/val_prior_loss_epoch,45000,1789390685.459805,0.9657334685325623
fm,sub_loss/val_prior_loss_epoch,46000,1789391123.8929553,0.9657222032546997
fm,sub_loss/val_prior_loss_epoch,47000,1789391554.0395675,0.9656686186790466
fm,sub_loss/val_prior_loss_epoch,48000,1789391973.1290362,0.9659267663955688
fm,sub_loss/val_prior_loss_epoch,49000,1789392391.4971733,0.9658210873603821
fm,sub_loss/val_prior_loss_epoch,50000,1789392811.5045881,0.9655783176422119
fm,sub_loss/val_prior_loss_epoch,51000,1789393246.7305381,0.9655646085739136
fm,sub_loss/val_prior_loss_epoch,52000,1789393673.9359245,0.9655460119247437
fm,sub_loss/val_prior_loss_epoch,53000,1789394091.671322,0.9659802317619324
fm,sub_loss/val_prior_loss_epoch,54000,1789394509.193592,0.9658660888671875
fm,sub_loss/val_prior_loss_epoch,55000,1789394927.7149816,0.9661262631416321
fm,sub_loss/val_prior_loss_epoch,56000,1789395365.916226,0.9658280611038208
fm,sub_loss/val_prior_loss_epoch,57000,1789395786.8138454,0.9659079909324646
fm,sub_loss/val_prior_loss_epoch,58000,1789396204.7111607,0.9656378626823425
fm,sub_loss/val_prior_loss_epoch,59000,1789396621.6755784,0.9657922983169556
fm,sub_loss/val_prior_loss_epoch,60000,1789397038.42658,0.9658794403076172
fm,sub_loss/val_prior_loss_epoch,61000,1789397477.3710911,0.965684711933136
fm,sub_loss/val_prior_loss_epoch,62000,1789397899.3972547,0.9657542705535889
fm,sub_loss/val_prior_loss_epoch,63000,1789398315.3161016,0.9656566977500916
fm,sub_loss/val_prior_loss_epoch,64000,1789398730.7527862,0.9656121134757996
fm,sub_loss/val_prior_loss_epoch,65000,1789399150.0751865,0.9658939242362976
fm,sub_loss/val_prior_loss_epoch,66000,1789399590.3683486,0.9659068584442139
fm,sub_loss/val_prior_loss_epoch,67000,1789400013.3656976,0.9658642411231995
fm,sub_loss/val_prior_loss_epoch,68000,1789400429.6646767,0.9658827185630798
fm,sub_loss/val_prior_loss_epoch,69000,1789400848.2679002,0.9656388759613037
fm,sub_loss/val_prior_loss_epoch,70000,1789401266.342425,0.9659135937690735
fm,sub_loss/val_prior_loss_epoch,71000,1789401711.0308733,0.9658623337745667
fm,sub_loss/val_prior_loss_epoch,72000,1789402132.842981,0.9658541083335876
fm,sub_loss/val_prior_loss_epoch,73000,1789402555.3852131,0.9660241007804871
fm,sub_loss/val_prior_loss_epoch,74000,1789402970.929201,0.9657453894615173
fm,sub_loss/val_prior_loss_epoch,75000,1789403386.8152716,0.9658712148666382
